fecha,ret
2024-01-01,-0.016853
2024-01-02,-0.002149
2024-01-03,0.025255
2024-01-04,0.034828
2024-01-05,-0.008205
2024-01-06,0.026209
2024-01-07,-0.009169
2024-01-08,0.002624
2024-01-09,0.021987
2024-01-10,-0.004642
2024-01-11,0.046679
2024-01-12,-0.046561
2024-01-13,-0.004063
2024-01-14,-0.013801
2024-01-15,-0.00285
2024-01-16,0.002998
2024-01-17,-0.028933
2024-01-18,0.023105
2024-01-19,-0.021867
2024-01-20,0.012499
2024-01-21,0.020206
2024-01-22,-0.019921
2024-01-23,0.022986
2024-01-24,0.006349
2024-01-25,-0.004882
2024-01-26,0.01715
2024-01-27,0.031943
2024-01-28,0.027738
2024-01-29,0.008095
2024-01-30,-0.004597
2024-01-31,-0.00936
2024-02-01,0.016106
2024-02-02,0.003239
2024-02-03,-0.008825
2024-02-04,-0.011628
2024-02-05,-0.017267
2024-02-06,-0.013
2024-02-07,0.008829
2024-02-08,-0.015733
2024-02-09,-0.020016
2024-02-10,-0.012203
2024-02-11,-0.01787
2024-02-12,-0.017984
2024-02-13,0.018555
2024-02-14,0.036988
2024-02-15,0.001477
2024-02-16,0.008304
2024-02-17,-0.002722
2024-02-18,0.011634
2024-02-19,-0.020733
