date,close
2026-01-01,100.00
2026-01-02,101.20
2026-01-03,100.39
2026-01-04,102.50
2026-01-05,100.96
2026-01-06,101.57
2026-01-07,102.48
2026-01-08,101.35
2026-01-09,103.18
2026-01-10,102.77
2026-01-11,103.48
2026-01-12,101.42
2026-01-13,102.83
2026-01-14,103.35
2026-01-15,102.42
2026-01-16,103.55
2026-01-17,103.86
2026-01-18,103.23
2026-01-19,104.88
2026-01-20,103.52
2026-01-21,104.35
2026-01-22,104.56
2026-01-23,103.83
2026-01-24,105.80
2026-01-25,104.74
2026-01-26,105.16
2026-01-27,106.53
2026-01-28,105.99
2026-01-29,106.63
2026-01-30,105.35
2026-01-31,106.40
