dia,close,high,low,volumen
1,98.51,99.22,97.86,3338
2,98.39,98.77,97.50,4783
3,99.48,100.53,99.06,964
4,101.30,102.79,100.13,1622
5,98.97,99.90,97.01,1743
6,98.41,98.78,97.78,1574
7,97.57,98.91,97.12,2998
8,96.39,97.44,96.24,3956
9,99.89,99.99,99.60,4495
10,100.80,101.80,100.32,4252
11,98.36,99.62,98.29,1714
12,100.27,100.75,100.14,2108
13,104.62,104.63,103.64,4977
14,106.89,106.93,106.67,1313
15,103.75,104.12,103.47,2720
16,102.84,103.36,102.51,4394
17,105.55,106.45,105.14,2209
18,104.16,104.28,103.80,3990
19,105.19,105.29,104.86,2355
20,106.93,107.37,106.57,1604
21,105.05,105.65,104.81,2079
22,105.03,105.98,103.29,4377
23,98.33,99.54,97.64,3701
24,96.41,97.40,96.16,2187
25,96.02,96.28,95.10,3561
26,93.72,94.28,93.42,3479
27,96.88,98.08,95.30,2906
28,94.20,94.29,93.44,3568
29,93.47,94.35,92.07,4753
30,93.80,93.86,93.54,3986
31,96.60,98.20,96.59,4080
32,93.93,95.24,92.67,3373
33,96.20,96.40,95.95,3399
34,96.32,97.07,96.15,4833
35,94.53,95.01,93.90,1036
36,95.49,96.54,93.80,2104
37,95.97,96.71,95.79,4230
38,94.91,95.43,94.33,2101
39,95.14,95.95,94.02,3341
40,94.50,95.83,93.64,2851
41,94.81,95.71,94.55,1241
42,96.16,97.73,95.84,2876
43,99.31,99.52,98.81,3980
44,96.95,97.51,95.19,3457
45,101.18,102.40,101.03,4598
46,97.33,97.39,97.14,1604
47,97.13,98.40,96.78,874
48,98.37,99.46,97.71,2975
49,99.03,100.38,98.37,4724
50,97.89,97.94,97.22,2889
51,97.58,97.88,97.53,840
52,96.72,96.74,96.35,2881
53,95.67,97.26,95.31,2422
54,97.40,97.47,97.14,1141
55,98.19,99.21,97.37,4852
56,96.93,97.45,96.53,2874
57,98.77,99.06,98.55,1445
58,99.47,100.22,98.69,1409
59,101.19,101.61,100.83,1254
60,102.56,103.43,102.26,3753
61,100.97,101.02,100.36,2508
62,99.94,100.70,99.20,4272
63,101.53,102.33,100.82,3769
64,102.87,103.29,101.76,3828
65,102.93,103.37,102.59,3481
66,103.28,103.93,101.72,4429
67,106.02,106.11,105.36,3867
68,104.87,105.74,103.83,2186
69,106.12,106.59,104.61,4576
70,105.80,106.81,104.53,3666
71,105.44,107.10,104.89,4163
72,107.87,107.90,107.82,4924
73,109.76,110.37,109.51,948
74,111.65,111.84,110.65,4650
75,114.68,114.78,112.43,2858
76,114.84,115.04,114.72,1936
77,116.52,117.09,116.42,986
78,115.91,116.62,115.24,3654
79,116.78,117.28,116.33,2050
80,116.60,117.13,116.39,2133
81,116.94,117.20,116.20,4993
82,118.45,120.63,118.00,4950
83,116.63,118.04,114.87,3511
84,121.62,122.95,120.32,2585
85,119.30,120.87,117.78,1550
86,116.52,116.75,116.04,2562
87,119.34,119.89,118.39,4720
88,121.35,121.65,121.22,1281
89,122.98,126.01,122.93,953
90,124.65,125.77,123.56,2324
91,124.74,124.87,123.05,2920
92,122.63,123.57,121.13,3143
93,122.94,124.52,122.78,2040
94,121.40,121.59,120.98,860
95,123.89,124.63,122.88,1738
96,123.64,125.05,122.01,2439
97,121.73,122.36,120.93,4920
98,121.07,122.11,121.00,4369
99,122.19,123.84,120.93,2052
100,120.93,121.78,119.68,971
101,119.06,119.07,118.74,2258
102,119.76,121.18,118.16,4349
103,120.47,120.54,120.22,4997
104,119.37,120.19,117.93,3122
105,118.36,119.81,118.13,2436
106,119.03,119.54,118.77,3915
107,115.70,116.66,113.21,4890
108,112.56,112.73,112.51,3804
109,111.06,111.84,110.85,1129
110,110.69,111.92,110.08,4440
111,111.49,112.32,109.84,4694
112,114.89,116.65,113.86,4907
113,116.98,118.29,116.73,2141
114,116.72,117.25,115.69,4463
115,116.80,117.40,114.39,1015
116,114.57,115.02,114.52,1138
117,114.64,115.19,114.63,4862
118,114.10,114.88,114.07,3508
119,114.95,114.99,114.76,3952
120,113.16,113.91,113.03,2550
121,114.45,114.70,113.92,3221
122,118.07,118.12,117.55,1509
123,117.93,118.16,117.90,4526
124,119.00,119.86,118.48,4442
125,120.76,121.32,120.07,4793
126,119.91,120.63,119.81,1288
127,120.57,121.05,120.32,846
128,120.72,121.66,119.27,4159
129,121.08,121.17,118.51,1200
130,119.32,120.04,118.28,4790
131,119.50,121.10,118.31,3957
132,120.81,121.34,118.81,1190
133,124.44,125.10,124.10,4653
134,126.95,127.53,126.57,1428
135,132.54,133.35,131.05,3730
136,130.64,132.53,129.83,2321
137,133.05,134.79,131.87,1626
138,133.67,133.73,131.80,2300
139,139.66,139.95,138.62,4094
140,137.54,138.54,136.14,3219
141,135.37,136.06,134.59,1734
142,133.88,135.66,132.67,3842
143,128.33,128.40,127.79,2266
144,127.11,128.34,126.61,4361
145,125.31,125.96,124.08,1414
146,125.81,125.86,125.09,1982
147,126.79,127.67,126.55,4023
148,131.68,132.08,131.28,3467
149,134.31,135.40,133.55,930
150,132.90,133.51,132.43,3783
