dia,close,high,low,volumen
1,301.75,302.64,300.95,6422
2,296.56,299.48,293.93,6371
3,294.44,295.67,293.34,5141
4,292.92,293.93,292.01,5248
5,289.91,290.41,289.46,6136
6,288.71,289.46,288.04,4108
7,287.92,289.81,286.22,5540
8,281.45,283.58,279.53,10288
9,276.98,278.35,275.74,4836
10,275.85,277.39,274.46,4649
11,272.64,274.3,271.15,4927
12,271.21,272.89,269.69,6967
13,275.19,278.02,272.64,7582
14,272.79,274.31,271.42,6795
15,272.41,273.6,271.34,3834
16,273.94,275.57,272.48,5437
17,273.12,275.2,271.24,6148
18,272.78,274.42,271.3,2563
19,274.34,276.55,272.35,2993
20,272.33,273.63,271.16,6597
21,281.44,282.37,280.61,8502
22,283.97,284.69,283.33,5240
23,286.77,287.86,285.79,5256
24,288.78,289.38,288.24,3902
25,284.37,285.14,283.68,5062
26,285.69,287.18,284.35,6763
27,284.59,287.05,282.37,5393
28,287.54,288.63,286.56,6015
29,289.78,290.85,288.81,6214
30,291.82,293.14,290.63,6124
31,289.78,291.09,288.6,6917
32,287.83,289.52,286.31,3974
33,286.82,287.35,286.34,1500
34,287.54,288.59,286.6,6737
35,288.54,290.14,287.1,3256
36,292.89,294.46,291.48,7105
37,292.79,294.4,291.34,4805
38,294.21,295.65,292.92,5269
39,299.49,300.74,298.36,10572
40,299.61,300.19,299.08,4878
41,306.86,309.16,304.79,10460
42,307.89,308.44,307.39,6557
43,310.01,310.82,309.28,8117
44,308.89,310.36,307.57,7466
45,311.53,313.5,309.76,7011
46,315.11,316.8,313.59,6232
47,317.45,318.58,316.44,5137
48,311.98,312.9,311.16,8041
49,311.84,313.26,310.56,4670
50,309.34,310.23,308.54,9238
