dia,close,high,low,volumen
1,51.43,51.7,51.19,6440
2,51.17,51.39,50.97,5382
3,51.62,51.77,51.48,6432
4,51.01,51.34,50.71,5436
5,50.23,50.67,49.84,4949
6,50.74,51.1,50.42,3973
7,51.51,51.62,51.41,7734
8,52.64,52.82,52.48,11236
9,52.75,53.16,52.38,3909
10,53.34,53.66,53.05,8129
11,53.78,53.99,53.59,5370
12,54.02,54.45,53.63,4344
13,54.57,54.71,54.44,7112
14,54.87,55.23,54.55,5326
15,56.03,56.25,55.84,11172
16,56.68,57.05,56.35,5118
17,56.51,56.8,56.25,7285
18,57.03,57.39,56.7,6187
19,57.73,57.95,57.53,3439
20,56.72,57.12,56.36,7562
21,56.81,57.23,56.43,4586
22,56.85,57.04,56.68,3056
23,56.89,57.15,56.66,1200
24,56.23,56.42,56.06,8289
25,55.39,55.51,55.29,8364
26,56.1,56.34,55.88,6233
27,57.12,57.63,56.66,8126
28,58.28,58.46,58.11,8676
29,58.02,58.11,57.94,4748
30,57.4,57.52,57.3,10792
31,57.2,57.68,56.77,1954
32,57.54,57.92,57.19,3602
33,58.23,58.49,57.99,6039
34,58.71,58.93,58.51,5135
35,59.06,59.33,58.82,4109
36,59.15,59.75,58.61,2800
37,58.88,59.07,58.71,7652
38,59.41,59.84,59.02,2848
39,58.64,58.89,58.42,5399
40,59.65,59.76,59.55,6672
41,59.53,59.68,59.4,6078
42,58.27,58.52,58.05,10020
43,58.39,58.71,58.1,4827
44,58.63,58.95,58.34,3595
45,59.37,59.59,59.17,5945
46,60.08,60.54,59.66,5630
47,60.04,60.4,59.71,4630
48,60.69,60.84,60.56,9042
49,60.42,60.77,60.1,5372
50,60.59,60.81,60.39,5417
51,59.69,59.9,59.5,6313
52,59.14,59.36,58.95,4964
53,58.99,59.16,58.83,7594
54,58.33,58.47,58.2,4482
55,59.0,59.15,58.87,4285
56,60.83,61.4,60.31,9732
57,60.95,61.2,60.73,8051
58,60.68,60.87,60.51,5232
59,59.55,59.92,59.22,10833
60,59.49,59.86,59.16,5905
61,59.31,59.47,59.16,4154
62,59.34,59.54,59.16,5468
63,58.54,58.74,58.36,8351
64,58.11,58.31,57.93,6610
65,57.88,57.99,57.78,4652
66,58.85,59.16,58.57,4591
67,58.35,58.66,58.08,7940
68,58.6,58.86,58.37,4451
69,58.87,59.0,58.75,5747
70,58.7,59.03,58.4,5714
