dia,close
1,30623.27
2,29957.69
3,31038.26
4,29981.52
5,30451.37
6,32149.38
7,31385.40
8,30972.45
9,31080.59
10,30720.46
11,29560.25
12,29640.48
13,28882.94
14,29253.79
15,28610.63
16,29747.86
17,29195.10
18,28989.23
19,29607.80
20,28726.33
21,28918.41
22,29892.34
23,28720.95
24,28882.24
25,29098.77
26,29696.62
27,28807.99
28,27885.80
29,28277.56
30,28515.78
31,28722.87
32,29000.37
33,28536.35
34,28730.58
35,28969.81
36,28481.41
37,29838.39
38,30221.69
39,29351.83
40,29862.96
41,29165.15
42,29768.20
43,30660.20
44,30061.81
45,30815.89
46,31164.71
47,31836.36
48,33377.87
49,33206.48
50,32613.97
51,31921.32
52,31302.19
53,31273.16
54,31571.16
55,31821.11
56,32510.98
57,32554.06
58,33769.57
59,33579.91
60,35897.07
61,36494.45
62,35748.91
63,34827.58
64,35282.49
65,35120.66
66,35782.69
67,36241.81
68,36212.07
69,35481.68
70,34173.43
71,33826.13
72,34584.17
73,34803.86
74,33754.75
75,33934.65
76,34295.47
77,33571.96
78,33734.55
79,33817.38
80,32884.89
81,33211.92
82,33710.75
83,34657.22
84,35604.93
85,34414.24
86,33641.79
87,34108.60
88,34580.82
89,35060.67
90,38472.71
91,39060.28
92,40208.23
93,41207.40
94,41919.66
95,41631.18
96,42462.73
97,41684.79
98,41479.68
99,41017.84
100,41142.82
101,43564.75
102,41574.64
103,42329.49
104,40665.18
105,40226.07
106,41361.40
107,41469.23
108,40393.37
109,39711.42
110,40425.83
111,39728.11
112,39982.83
113,40068.36
114,39455.72
115,41609.95
116,42310.99
117,40211.16
118,40438.81
119,39810.20
120,40698.40
