dia,close
1,100.85
2,100.74
3,101.82
4,104.24
5,103.98
6,103.72
7,106.28
8,107.61
9,106.96
10,107.94
11,107.30
12,106.65
13,107.15
14,104.18
15,101.59
16,100.83
17,99.40
18,99.97
19,98.71
20,96.72
21,98.94
22,98.70
23,98.90
24,96.89
25,96.19
26,96.45
27,94.88
28,95.51
29,94.74
30,94.42
31,93.67
32,96.36
33,96.44
34,95.01
35,96.27
36,94.61
37,95.00
38,92.30
39,90.55
40,90.91
41,92.01
42,92.34
43,92.27
44,91.95
45,90.00
46,89.12
47,88.59
48,90.08
49,90.64
50,88.33
51,88.85
52,88.43
53,87.62
54,88.51
55,89.96
56,91.31
57,90.25
58,89.92
59,90.46
60,91.88
