dia,close,high,low,volumen
1,91.77,92.21,91.37,5103
2,94.28,94.56,94.03,8191
3,93.01,94.27,91.88,8877
4,92.78,93.07,92.52,2054
5,94.06,94.77,93.42,4745
6,95.42,95.82,95.06,5955
7,97.16,97.36,96.98,8309
8,97.7,98.35,97.11,2814
9,99.15,99.45,98.88,7767
10,102.06,102.82,101.38,7810
11,103.62,104.04,103.24,6123
12,105.44,105.69,105.22,4083
13,105.04,105.81,104.35,6379
14,102.79,103.32,102.31,7161
15,102.23,102.4,102.08,5270
16,102.14,102.3,101.99,4584
17,103.5,103.79,103.24,3219
18,103.35,103.89,102.86,3575
19,103.51,104.35,102.76,3022
20,103.67,104.2,103.19,4524
21,105.69,106.32,105.12,9275
22,106.41,106.78,106.08,5507
23,106.28,107.1,105.54,4290
24,106.52,107.17,105.94,5669
25,107.05,108.14,106.07,7380
26,108.4,108.86,107.98,2794
27,107.99,108.77,107.29,3959
28,110.09,110.82,109.44,6634
29,111.8,112.06,111.57,7410
30,113.05,114.24,111.98,4481
31,114.38,114.83,113.98,3623
32,114.59,114.95,114.27,3292
33,113.1,113.95,112.34,5696
34,112.42,112.91,111.98,5328
35,111.58,112.03,111.18,6264
36,112.77,113.41,112.19,7926
37,111.91,112.5,111.38,4930
38,112.23,112.45,112.03,6148
39,113.01,113.56,112.52,5000
40,111.19,111.73,110.7,5263
41,110.59,111.28,109.97,1200
42,110.74,111.46,110.09,2470
43,112.52,112.99,112.1,6880
44,112.03,112.58,111.53,5857
45,112.91,113.12,112.72,2755
46,113.54,114.09,113.04,8907
47,112.59,113.42,111.85,3625
48,113.62,114.16,113.13,3874
49,114.68,115.48,113.96,7224
50,114.19,114.45,113.96,5445
51,114.79,115.14,114.48,6700
52,115.43,115.92,114.99,6992
53,114.8,115.49,114.18,2700
54,113.04,113.25,112.85,7014
55,113.16,114.36,112.08,5578
56,113.73,114.14,113.36,4883
57,114.78,115.24,114.37,5054
58,116.2,116.57,115.86,7854
59,118.42,119.0,117.89,8327
60,119.78,120.26,119.35,6056
61,120.2,120.78,119.68,5733
62,119.85,120.62,119.15,4718
63,122.16,123.04,121.37,7919
64,121.63,122.2,121.11,5559
65,121.17,121.38,120.98,5630
66,122.01,122.32,121.73,6938
67,121.03,121.26,120.82,9386
68,124.95,125.64,124.33,5731
69,127.38,127.59,127.19,8910
70,127.68,128.24,127.17,4923
71,126.71,127.13,126.34,6956
72,125.93,126.63,125.3,7207
73,126.01,126.83,125.28,3729
74,124.65,125.32,124.04,6775
75,125.67,125.89,125.47,5184
76,127.81,128.1,127.55,6143
77,126.34,127.08,125.67,7200
78,125.86,127.18,124.67,2615
79,127.04,127.33,126.78,3750
80,125.08,125.78,124.45,6374
