dia,close
1,56327.97
2,54225.57
3,56460.52
4,57066.59
5,60631.65
6,61586.92
7,61929.27
8,65187.20
9,67240.86
10,66925.65
11,64809.25
12,60275.94
13,59556.85
14,57508.69
15,62059.42
16,60923.04
17,59757.51
18,57102.04
19,56714.35
20,55651.74
21,58619.75
22,58986.38
23,59041.48
24,58873.79
25,60332.99
26,59586.68
27,60850.88
28,63870.25
29,64828.45
30,64420.55
31,62655.18
32,62213.23
33,63338.82
34,60502.77
35,62084.69
36,62545.88
37,62341.00
38,61182.55
39,60381.59
40,61536.04
41,61373.19
42,60524.14
43,61447.56
44,62458.10
45,60192.42
46,61296.61
47,65970.54
48,66979.14
49,63645.57
50,64060.62
51,60619.00
52,66451.83
53,70988.51
54,69655.48
55,65046.37
56,63410.38
57,63142.18
58,59880.51
59,59828.37
60,59563.49
61,59858.61
62,60342.82
63,58667.19
64,57235.57
65,57382.54
66,56365.16
67,57967.33
68,58099.31
69,61419.69
70,63005.21
71,65167.01
72,65504.38
73,65892.22
74,69393.71
75,68689.44
76,69898.61
77,69424.20
78,68948.01
79,66612.96
80,65209.06
81,63471.37
82,64679.29
83,66775.30
84,66665.62
85,67204.86
86,66978.11
87,65429.35
88,67200.39
89,68596.54
90,64784.20
91,64311.71
92,62687.14
93,62027.16
94,60854.05
95,60842.32
96,60313.15
97,59750.18
98,61806.88
99,62914.17
100,61661.12
101,60707.44
102,61675.95
103,62657.38
104,61597.63
105,61239.15
106,64705.54
107,63644.60
108,67369.34
109,69680.79
110,73371.25
111,72074.63
112,71796.66
113,70915.36
114,73397.58
115,72235.66
116,73906.94
117,75499.56
118,75481.37
119,78512.69
120,78860.53
121,80928.45
122,79824.50
123,78187.85
124,79996.68
125,81126.65
126,81816.16
127,81070.76
128,84935.92
129,82192.69
130,79403.05
131,81742.66
132,83949.95
133,84941.64
134,84309.79
135,85681.74
136,90207.87
137,97123.78
138,92414.01
139,91363.49
140,90152.63
141,94659.86
142,87727.08
143,89184.67
144,88604.59
145,93065.24
146,97367.76
147,98552.26
148,93999.96
149,92494.39
150,91316.78
