fecha,precio
2024-01-01,60000.00
2024-01-02,59875.22
2024-01-03,59716.28
2024-01-04,59631.17
2024-01-05,60522.67
2024-01-06,60416.74
2024-01-07,58681.19
2024-01-08,59119.78
2024-01-09,58851.59
2024-01-10,58643.67
2024-01-11,58826.79
2024-01-12,59148.03
2024-01-13,60589.07
2024-01-14,61439.15
2024-01-15,61624.37
2024-01-16,60769.68
2024-01-17,59596.55
2024-01-18,59938.83
2024-01-19,61580.55
2024-01-20,61681.21
2024-01-21,61599.44
2024-01-22,62307.91
2024-01-23,60571.07
2024-01-24,60242.13
2024-01-25,60884.53
2024-01-26,62007.00
2024-01-27,61758.69
2024-01-28,62275.41
2024-01-29,62635.42
2024-01-30,63674.07
2024-01-31,62321.91
2024-02-01,63084.68
2024-02-02,61251.45
2024-02-03,58171.10
2024-02-04,57515.29
2024-02-05,56516.61
2024-02-06,57561.56
2024-02-07,58378.07
2024-02-08,57017.53
2024-02-09,58038.46
2024-02-10,56932.25
2024-02-11,56879.62
2024-02-12,56591.51
2024-02-13,56766.56
2024-02-14,57749.82
2024-02-15,58538.72
2024-02-16,58996.97
2024-02-17,59816.71
2024-02-18,60440.23
2024-02-19,59734.83
2024-02-20,58931.03
2024-02-21,58426.43
2024-02-22,59060.06
2024-02-23,58812.40
2024-02-24,61674.33
2024-02-25,60720.53
2024-02-26,59448.14
2024-02-27,60417.20
2024-02-28,62209.70
2024-02-29,62892.36
2024-03-01,64003.71
2024-03-02,65908.54
2024-03-03,65837.36
2024-03-04,64041.30
2024-03-05,63414.13
2024-03-06,64685.99
2024-03-07,62895.28
2024-03-08,62987.84
2024-03-09,63358.33
2024-03-10,63010.07
2024-03-11,63979.79
2024-03-12,64779.09
2024-03-13,67911.88
2024-03-14,68814.22
2024-03-15,68035.00
2024-03-16,67328.68
2024-03-17,66271.15
2024-03-18,67599.47
2024-03-19,66890.94
2024-03-20,66850.47
2024-03-21,67914.15
2024-03-22,66992.13
2024-03-23,66653.12
2024-03-24,64294.64
2024-03-25,62968.00
2024-03-26,62306.88
2024-03-27,62877.42
2024-03-28,64447.89
2024-03-29,64475.65
2024-03-30,64865.44
2024-03-31,65135.80
2024-04-01,66617.62
2024-04-02,67872.86
2024-04-03,68300.02
2024-04-04,66986.51
2024-04-05,68262.39
2024-04-06,68839.65
2024-04-07,70606.25
2024-04-08,70620.51
2024-04-09,73492.44
2024-04-10,73025.24
2024-04-11,75449.71
2024-04-12,75684.14
2024-04-13,74966.64
2024-04-14,73352.33
2024-04-15,73189.63
2024-04-16,75363.28
2024-04-17,76665.18
2024-04-18,77790.97
2024-04-19,74240.35
2024-04-20,75363.81
2024-04-21,76267.29
2024-04-22,75493.43
2024-04-23,74611.75
2024-04-24,74668.01
2024-04-25,77350.67
2024-04-26,75796.13
2024-04-27,75210.52
2024-04-28,77348.94
2024-04-29,76723.18
