timestamp,price,volume
2026-02-10 00:00,102.87,272.2
2026-02-10 01:00,103.46,217.7
2026-02-10 02:00,103.67,332.7
2026-02-10 03:00,104.44,229.4
2026-02-10 04:00,104.19,51.1
2026-02-10 05:00,104.23,179.9
2026-02-10 06:00,,
2026-02-10 07:00,,
2026-02-10 08:00,104.15,327.8
2026-02-10 09:00,104.12,131.3
2026-02-10 10:00,104.19,399.1
2026-02-10 11:00,104.36,308.5
2026-02-10 12:00,104.82,61.9
2026-02-10 13:00,104.46,165.1
2026-02-10 14:00,104.3,383.2
2026-02-10 15:00,104.36,179.0
2026-02-10 16:00,104.85,93.7
2026-02-10 17:00,105.54,374.8
2026-02-10 18:00,105.08,170.0
2026-02-10 19:00,105.29,219.6
2026-02-10 20:00,105.39,353.1
2026-02-10 21:00,105.55,132.2
2026-02-10 22:00,105.66,389.1
2026-02-10 23:00,105.43,362.9
2026-02-11 00:00,105.5,253.3
2026-02-11 01:00,104.84,305.4
2026-02-11 02:00,105.24,339.5
2026-02-11 03:00,105.63,120.4
2026-02-11 04:00,106.47,193.4
2026-02-11 05:00,,
2026-02-11 06:00,,
2026-02-11 07:00,106.11,177.8
2026-02-11 08:00,105.76,398.2
2026-02-11 09:00,105.94,185.3
2026-02-11 10:00,106.18,301.3
2026-02-11 11:00,106.26,397.5
2026-02-11 12:00,105.82,242.7
2026-02-11 13:00,105.89,311.9
2026-02-11 14:00,106.04,244.8
2026-02-11 15:00,106.67,267.9
2026-02-11 16:00,106.83,171.9
2026-02-11 17:00,107.12,374.5
2026-02-11 18:00,106.84,157.3
2026-02-11 19:00,107.37,86.1
2026-02-11 20:00,108.14,322.0
2026-02-11 21:00,108.51,181.2
2026-02-11 22:00,108.3,364.5
2026-02-11 23:00,107.76,385.4
