open_time,open,high,low,close,volume
2026-04-01T00:00:00Z,67200.0,67268.7,67099.3,67129.6,564.78
2026-04-02T00:00:00Z,67129.6,67160.5,66992.9,67027.6,541.17
2026-04-03T00:00:00Z,67027.6,67684.3,66974.6,67650.6,472.35
2026-04-04T00:00:00Z,67650.6,67850.9,67589.0,67818.5,305.29
2026-04-05T00:00:00Z,67818.5,68055.1,66849.6,66968.7,930.29
2026-04-06T00:00:00Z,66968.7,67222.3,66708.6,66784.8,360.38
2026-04-07T00:00:00Z,66784.8,67069.4,66696.5,67016.6,270.0
2026-04-08T00:00:00Z,67016.6,68173.6,66922.7,68004.4,429.09
2026-04-09T00:00:00Z,68004.4,68018.9,67799.4,67885.2,684.73
2026-04-10T00:00:00Z,67885.2,68194.3,67833.4,68088.0,606.02
2026-04-11T00:00:00Z,68088.0,68121.4,67658.3,67716.0,322.6
2026-04-12T00:00:00Z,67716.0,67863.6,66903.0,66976.7,846.36
2026-04-13T00:00:00Z,66976.7,67096.3,66910.1,66986.8,467.04
2026-04-14T00:00:00Z,66986.8,67023.9,66910.0,67020.4,525.84
2026-04-15T00:00:00Z,67020.4,67909.0,67004.4,67859.8,846.65
2026-04-16T00:00:00Z,67859.8,67941.4,67031.5,67222.4,613.33
2026-04-17T00:00:00Z,67222.4,67293.8,66597.2,66769.3,513.5
2026-04-18T00:00:00Z,66769.3,66793.5,65710.8,65750.8,702.24
2026-04-19T00:00:00Z,65750.8,66081.9,64770.8,64817.1,440.21
2026-04-20T00:00:00Z,64817.1,64830.7,64476.1,64500.2,503.21
2026-04-21T00:00:00Z,64500.2,64747.7,64294.5,64691.5,227.35
2026-04-22T00:00:00Z,64691.5,65078.5,64562.7,65076.5,843.28
2026-04-23T00:00:00Z,65076.5,65708.4,64819.6,65638.9,800.0
2026-04-24T00:00:00Z,65638.9,65708.5,65292.1,65371.7,464.7
2026-04-25T00:00:00Z,65371.7,65582.3,64679.9,64751.4,266.26
2026-04-26T00:00:00Z,64751.4,64762.1,64644.6,64738.4,522.52
2026-04-27T00:00:00Z,64738.4,64792.1,64326.2,64460.5,426.48
2026-04-28T00:00:00Z,64460.5,64830.7,64331.4,64538.8,693.11
2026-04-29T00:00:00Z,64538.8,64556.2,63871.8,63890.8,866.61
2026-04-30T00:00:00Z,63890.8,63939.5,63547.0,63802.4,782.23
2026-05-01T00:00:00Z,63802.4,63883.0,63321.2,63464.5,171.67
2026-05-02T00:00:00Z,63464.5,64043.9,63428.8,63964.1,254.71
2026-05-03T00:00:00Z,63964.1,63999.6,63864.6,63937.9,204.22
2026-05-04T00:00:00Z,63937.9,64021.3,63915.9,64002.2,845.7
2026-05-05T00:00:00Z,64002.2,64049.9,63845.6,63847.3,422.26
2026-05-06T00:00:00Z,63847.3,64562.4,63674.1,64383.0,944.28
2026-05-07T00:00:00Z,64383.0,64414.4,63817.6,63868.5,404.39
2026-05-08T00:00:00Z,63868.5,64076.5,63629.5,64054.3,253.99
2026-05-09T00:00:00Z,64054.3,65410.0,63983.3,65363.6,570.83
2026-05-10T00:00:00Z,65363.6,65534.9,65336.5,65376.9,932.16
2026-05-11T00:00:00Z,65376.9,66124.0,65368.2,65969.8,258.64
2026-05-12T00:00:00Z,65969.8,66561.5,65808.6,66539.0,766.62
2026-05-13T00:00:00Z,66539.0,66621.9,66279.0,66424.0,827.68
2026-05-14T00:00:00Z,66424.0,66508.7,64839.2,65064.8,734.09
2026-05-15T00:00:00Z,65064.8,65377.3,65045.4,65221.4,143.19
2026-05-16T00:00:00Z,65221.4,65405.0,65122.1,65386.3,694.79
2026-05-17T00:00:00Z,65386.3,66039.0,65027.3,66000.2,912.65
2026-05-18T00:00:00Z,66000.2,66061.6,65391.2,65460.6,308.28
2026-05-19T00:00:00Z,65460.6,65726.3,65260.7,65642.5,817.56
2026-05-20T00:00:00Z,65642.5,65831.9,64891.1,64915.4,783.7
