fecha,precio
2024-04-01,3000.00
2024-04-02,2984.45
2024-04-03,3026.48
2024-04-04,3013.04
2024-04-05,2992.99
2024-04-06,2927.71
2024-04-07,2915.64
2024-04-08,3001.42
2024-04-09,3037.06
2024-04-10,3120.56
2024-04-11,3143.81
2024-04-12,3178.80
2024-04-13,3197.40
2024-04-14,3070.64
2024-04-15,3140.77
2024-04-16,3184.60
2024-04-17,3228.43
2024-04-18,3098.48
2024-04-19,2969.86
2024-04-20,2908.03
2024-04-21,2877.64
2024-04-22,2903.18
2024-04-23,2903.33
2024-04-24,2944.93
2024-04-25,2901.50
2024-04-26,2927.49
2024-04-27,2960.03
2024-04-28,2915.00
2024-04-29,3046.55
2024-04-30,3092.95
2024-05-01,3190.73
2024-05-02,3145.40
2024-05-03,3091.49
2024-05-04,3068.69
2024-05-05,3064.22
2024-05-06,3116.76
2024-05-07,3139.94
2024-05-08,3108.75
2024-05-09,3038.91
2024-05-10,3003.21
2024-05-11,3100.01
2024-05-12,3041.67
2024-05-13,3064.01
2024-05-14,3100.58
2024-05-15,2990.81
2024-05-16,2998.04
2024-05-17,3101.28
2024-05-18,2952.51
2024-05-19,2932.38
2024-05-20,2928.12
2024-05-21,2872.35
2024-05-22,2911.78
2024-05-23,2910.74
2024-05-24,2809.46
2024-05-25,2871.65
2024-05-26,2923.61
2024-05-27,2997.16
2024-05-28,3110.80
2024-05-29,3142.87
2024-05-30,3156.04
2024-05-31,3058.85
2024-06-01,3110.01
2024-06-02,3066.49
2024-06-03,3035.62
2024-06-04,2944.66
2024-06-05,2877.74
2024-06-06,2843.19
2024-06-07,2939.82
2024-06-08,2797.57
2024-06-09,2700.70
2024-06-10,2720.17
2024-06-11,2823.50
2024-06-12,2868.07
2024-06-13,2738.31
2024-06-14,2574.32
2024-06-15,2600.54
2024-06-16,2556.18
2024-06-17,2488.60
2024-06-18,2553.22
2024-06-19,2627.67
2024-06-20,2641.19
2024-06-21,2660.66
2024-06-22,2692.94
2024-06-23,2805.78
2024-06-24,2852.96
2024-06-25,2893.67
2024-06-26,2937.09
2024-06-27,2827.55
2024-06-28,2923.13
2024-06-29,2997.36
